,資料日期,股票代號,股票名稱,除權息前收盤價,除權息參考價,權值+息值,權/息,漲停價格,跌停價格,開盤競價基準,減除股利參考價,詳細資料,最近一次申報資料 季別/日期,最近一次申報每股 (單位)淨值,最近一次申報每股 (單位)盈餘,Unnamed: 15
0,107年01月11日,6477,安集,23.15,22.74,0.40018400000000004,權,25.45,20.50,23.15,23.15,除權息資料,110年第1季,23.36,0.09,
1,107年01月24日,"=""00710B""",FH彭博高收益債,19.51,19.46,0.042,息,"9,999.95",0.01,19.46,19.46,除權息資料,,,,
2,107年01月24日,"=""00711B""",FH彭博新興債,19.72,19.51,0.202,息,"9,999.95",0.01,19.51,19.51,除權息資料,,,,
3,107年01月24日,"=""00712""",FH富時不動產,18.43,18.34,0.09,息,"9,999.95",0.01,18.34,18.34,除權息資料,,,,
4,107年01月25日,"=""00702""",國泰標普低波高息,20.91,20.66,0.25,息,"9,999.95",0.01,20.66,20.66,除權息資料,,,,
5,107年01月29日,"=""0050""",元大台灣50,87.50,85.30,2.2,息,93.80,76.80,85.30,85.30,除權息資料,110年05月18日,132.17,,
6,107年01月29日,"=""006203""",元大MSCI台灣,40.31,39.51,0.8,息,43.46,35.56,39.51,39.51,除權息資料,110年05月18日,62.42,,
7,107年02月05日,6153,嘉聯益,43.75,43.02,0.720376,權,48.10,38.75,43.75,43.75,除權息資料,110年第1季,28.46,-0.09,
8,107年03月19日,6128,上福,41.00,39.11,1.881044,權,45.10,35.20,41.00,41.00,除權息資料,110年第1季,25.17,0.44,
9,107年03月19日,9105,泰金寶-DR,2.87,2.83,0.038624,息,3.11,2.55,2.83,2.83,除權息資料,93年第4季,0.00,4.81,
10,107年03月22日,"=""00710B""",FH彭博高收益債,19.37,19.28,0.081,息,"9,999.95",0.01,19.28,19.28,除權息資料,,,,
11,107年03月22日,"=""00711B""",FH彭博新興債,18.76,18.56,0.193,息,"9,999.95",0.01,18.56,18.56,除權息資料,,,,
12,107年03月22日,"=""00712""",FH富時不動產,17.73,17.72,0.009,息,"9,999.95",0.01,17.72,17.72,除權息資料,,,,
13,107年04月02日,"=""01004T""",土銀富邦R2,12.64,12.44,0.193775,息,13.68,11.20,12.44,12.44,除權息資料,110年05月18日,15.50,,
14,107年04月19日,"=""00714""",群益道瓊美國地產,18.20,17.97,0.23,息,"9,999.95",0.01,17.97,17.97,除權息資料,,,,
15,107年04月26日,"=""01003T""",兆豐新光R1,14.90,14.52,0.37096999999999997,息,15.97,13.07,14.52,14.52,除權息資料,110年05月18日,17.51,,
16,107年04月26日,6449,鈺邦,63.40,62.38,1.013108,權,69.70,56.20,63.40,63.40,除權息資料,110年第1季,27.85,0.82,
17,107年05月03日,"=""0052""",富邦科技,53.50,51.78,1.72,息,56.95,46.61,51.80,51.78,除權息資料,110年05月18日,119.44,,
18,107年05月03日,"=""01001T""",土銀富邦R1,13.67,13.26,0.40571599999999997,息,14.58,11.94,13.26,13.26,除權息資料,110年05月18日,18.93,,
19,107年05月09日,2430,燦坤,24.90,23.54,1.36,息,25.85,21.20,23.55,23.54,除權息資料,110年第1季,29.75,1.0,
20,107年05月17日,"=""01002T""",土銀國泰R1,13.81,13.37,0.438168,息,14.70,12.04,13.37,13.37,除權息資料,110年05月18日,19.03,,
21,107年05月17日,"=""01007T""",兆豐國泰R2,14.53,14.31,0.219533,息,15.74,12.88,14.31,14.31,除權息資料,110年05月18日,20.13,,
22,107年05月21日,2101,南港,25.00,24.29,0.706857,息,26.70,21.90,24.30,24.29,除權息資料,110年第1季,13.06,0.26,
23,107年05月22日,9136,巨騰-DR,6.83,6.52,0.3008,息,7.17,5.87,6.52,6.52,除權息資料,97年第4季,0.00,2.82,
24,107年05月29日,2528,皇普,20.00,18.51,1.482821,權,22.00,16.70,20.00,20.00,除權息資料,110年第1季,11.61,0.27,
25,107年06月01日,3443,創意,255.00,250.00,5.0,息,275.00,225.00,250.00,250.00,除權息資料,110年第1季,35.73,2.3,
26,107年06月01日,6416,瑞祺電通,148.00,144.47,3.5293639999999997,息,158.50,130.50,144.50,144.47,除權息資料,110年第1季,43.42,1.0,
27,107年06月04日,8454,富邦媒,240.00,232.00,8.0,息,255.00,209.00,232.00,232.00,除權息資料,110年第1季,54.83,5.57,
28,107年06月05日,2809,京城銀,36.00,34.50,1.5,息,37.95,31.05,34.50,34.50,除權息資料,110年第1季,42.89,2.17,
29,107年06月06日,2444,兆勁,16.15,16.04,0.103926,息,17.60,14.45,16.05,16.04,除權息資料,110年第1季,8.21,-0.27,
30,107年06月07日,1773,勝一,91.40,86.80,4.6,息,95.40,78.20,86.80,86.80,除權息資料,110年第1季,34.07,2.1,
31,107年06月07日,910322,康師傅-DR,33.70,33.33,0.367897,息,36.65,30.00,33.35,33.33,除權息資料,97年第4季,0.00,1.53,
32,107年06月11日,912000,晨訊科-DR,3.32,2.89,0.426832,息,3.17,2.61,2.89,2.89,除權息資料,99年第4季,0.00,0.52,
33,107年06月12日,2017,官田鋼,11.15,10.23,0.910766,權息,11.25,9.21,10.25,10.23,除權息資料,110年第1季,12.62,0.48,
34,107年06月12日,6579,研揚,93.00,88.25,4.75,息,97.00,79.50,88.30,88.25,除權息資料,110年第1季,53.11,0.34,
35,107年06月13日,8427,基勝-KY,40.30,39.95,0.35,息,43.90,36.00,39.95,39.95,除權息資料,110年第1季,37.14,1.32,
36,107年06月14日,1786,科妍,79.00,78.80,0.2,息,86.60,71.00,78.80,78.80,除權息資料,110年第1季,23.42,0.4,
37,107年06月14日,2480,敦陽科,42.85,40.23,2.62,息,44.25,36.25,40.25,40.23,除權息資料,110年第1季,23.68,1.35,
38,107年06月14日,2727,王品,107.00,101.50,5.5,息,111.50,91.40,101.50,101.50,除權息資料,110年第1季,44.22,1.8,
39,107年06月14日,3030,德律,77.90,74.90,3.0,息,82.30,67.50,74.90,74.90,除權息資料,110年第1季,25.36,1.25,
40,107年06月15日,1605,華新,24.15,23.15,1.0,息,25.45,20.85,23.15,23.15,除權息資料,110年第1季,27.44,0.55,
41,107年06月15日,2467,志聖,28.75,27.25,1.5,息,29.95,24.55,27.25,27.25,除權息資料,110年第1季,18.00,1.01,
42,107年06月15日,2612,中航,29.25,28.75,0.5,息,31.60,25.90,28.75,28.75,除權息資料,110年第1季,50.81,1.12,
43,107年06月15日,6024,群益期,67.80,64.93,2.87,息,71.40,58.50,64.90,64.93,除權息資料,110年第1季,31.08,0.76,
44,107年06月15日,8070,長華*,149.00,138.00,11.0,息,151.50,124.50,138.00,138.00,除權息資料,110年第1季,11.25,0.36,
45,107年06月15日,912398,友佳-DR,7.31,7.02,0.281175,息,7.72,6.32,7.02,7.02,除權息資料,98年第4季,0.00,1.17,
46,107年06月19日,1760,寶齡富錦,99.60,98.10,1.5,息,107.50,88.30,98.10,98.10,除權息資料,110年第1季,15.18,-0.32,
47,107年06月19日,2461,光群雷,15.45,14.89,0.56,息,16.35,13.45,14.90,14.89,除權息資料,110年第1季,16.75,0.75,
48,107年06月19日,8467,波力-KY,31.90,30.40,1.5,息,33.40,27.40,30.40,30.40,除權息資料,110年第1季,27.62,0.31,
49,107年06月19日,9940,信義,42.55,35.41,7.13886,權息,38.95,31.90,35.40,35.41,除權息資料,110年第1季,16.03,0.62,
50,107年06月20日,2421,建準,44.55,42.25,2.3,息,46.45,38.05,42.25,42.25,除權息資料,110年第1季,18.61,0.37,
51,107年06月20日,6281,全國電,67.50,63.50,4.0,息,69.80,57.20,63.50,63.50,除權息資料,110年第1季,27.75,1.38,
52,107年06月21日,"=""00710B""",FH彭博高收益債,20.23,19.99,0.236,息,"9,999.95",0.01,19.99,19.99,除權息資料,,,,
53,107年06月21日,"=""00711B""",FH彭博新興債,18.55,18.37,0.178,息,"9,999.95",0.01,18.37,18.37,除權息資料,,,,
54,107年06月21日,"=""00712""",FH富時不動產,19.37,18.81,0.555,息,"9,999.95",0.01,18.81,18.81,除權息資料,,,,
55,107年06月21日,2359,所羅門,23.05,22.05,1.0,息,24.25,19.85,22.05,22.05,除權息資料,110年第1季,25.84,0.0,
56,107年06月21日,2385,群光,73.20,68.75,4.45,息,75.60,61.90,68.80,68.75,除權息資料,110年第1季,36.94,2.23,
57,107年06月21日,2723,美食-KY,332.00,295.19,36.800478000000005,權息,324.50,266.00,295.00,295.19,除權息資料,110年第1季,60.64,1.4,
58,107年06月21日,3094,聯傑,24.00,23.10,0.9,息,25.40,20.80,23.10,23.10,除權息資料,110年第1季,12.98,0.21,
59,107年06月21日,6456,GIS-KY,206.00,197.00,9.0,息,216.50,177.50,197.00,197.00,除權息資料,110年第1季,81.98,0.67,
60,107年06月22日,2722,夏都,30.70,29.13,1.565385,權息,32.00,26.25,29.15,29.13,除權息資料,110年第1季,16.53,0.07,
61,107年06月22日,5533,皇鼎,16.50,15.80,0.7,息,17.35,14.25,15.80,15.80,除權息資料,110年第1季,26.47,0.39,
62,107年06月22日,6164,華興,11.80,11.40,0.4,息,12.50,10.30,11.40,11.40,除權息資料,110年第1季,10.93,-0.04,
63,107年06月25日,1731,美吾華,14.55,13.95,0.6,息,15.30,12.60,13.95,13.95,除權息資料,110年第1季,14.77,0.35,
64,107年06月25日,2330,台積電,227.50,219.50,8.0,息,241.00,198.00,219.50,219.50,除權息資料,110年第1季,74.77,5.39,
