,Unnamed: 0,指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記,Unnamed: 6,日期,年
54368,58162,寶島股價指數,"12,343.19",+,75.99,0.62,,,20180102,2018
54369,58163,發行量加權股價指數,"10,710.73",+,67.87,0.64,,,20180102,2018
54370,58164,臺灣公司治理100指數,"6,027.66",+,31.37,0.52,,,20180102,2018
54371,58165,臺灣50指數,"8,032.98",+,51.57,0.65,,,20180102,2018
54372,58166,臺灣中型100指數,"7,816.49",+,54.59,0.70,,,20180102,2018
54373,58167,臺灣資訊科技指數,"10,267.66",+,96.51,0.95,,,20180102,2018
54374,58168,臺灣發達指數,"8,748.78",+,38.47,0.44,,,20180102,2018
54375,58169,臺灣高股息指數,"5,897.76",+,27.71,0.47,,,20180102,2018
54376,58170,臺灣就業99指數,"6,348.34",+,39.96,0.63,,,20180102,2018
54377,58171,臺灣高薪100指數,"5,917.78",+,32.54,0.55,,,20180102,2018
54378,58172,臺灣低波動高股息指數,"1,540.22",+,8.78,0.57,,,20180102,2018
54379,58173,未含金融保險股指數,"9,094.86",+,60.91,0.67,,,20180102,2018
54380,58174,未含電子股指數,"14,537.98",+,51.72,0.36,,,20180102,2018
54381,58175,未含金融電子股指數,"12,469.76",+,42.67,0.34,,,20180102,2018
54382,58176,小型股300指數,"6,458.05",+,46.35,0.72,,,20180102,2018
54383,58177,水泥窯製類指數,485.17,+,0.16,0.03,,,20180102,2018
54384,58178,塑膠化工類指數,913.71,-,1.68,-0.18,,,20180102,2018
54385,58179,機電類指數,"2,510.69",+,20.78,0.83,,,20180102,2018
54386,58180,水泥類指數,118.30,+,0.25,0.21,,,20180102,2018
54387,58181,食品類指數,"1,650.04",+,18.51,1.13,,,20180102,2018
54388,58182,塑膠類指數,284.81,-,1.04,-0.36,,,20180102,2018
54389,58183,紡織纖維類指數,491.68,-,0.05,-0.01,,,20180102,2018
54390,58184,電機機械類指數,195.92,-,0.36,-0.18,,,20180102,2018
54391,58185,電器電纜類指數,52.67,+,0.90,1.74,,,20180102,2018
54392,58186,化學生技醫療類指數,101.44,+,0.38,0.38,,,20180102,2018
54393,58187,化學類指數,108.90,+,0.44,0.41,,,20180102,2018
54394,58188,生技醫療類指數,64.97,+,0.22,0.34,,,20180102,2018
54395,58189,玻璃陶瓷類指數,56.01,-,0.36,-0.64,,,20180102,2018
54396,58190,造紙類指數,265.02,-,1.22,-0.46,,,20180102,2018
54397,58191,鋼鐵類指數,104.59,+,0.74,0.71,,,20180102,2018
54398,58192,橡膠類指數,291.33,+,0.06,0.02,,,20180102,2018
54399,58193,汽車類指數,257.07,+,3.20,1.26,,,20180102,2018
54400,58194,電子類指數,445.36,+,3.83,0.87,,,20180102,2018
54401,58195,半導體類指數,164.81,+,1.63,1.00,,,20180102,2018
54402,58196,電腦及週邊設備類指數,100.23,+,0.29,0.29,,,20180102,2018
54403,58197,光電類指數,42.73,+,1.17,2.82,,,20180102,2018
54404,58198,通信網路類指數,126.39,+,1.33,1.06,,,20180102,2018
54405,58199,電子零組件類指數,97.09,+,0.19,0.20,,,20180102,2018
54406,58200,電子通路類指數,120.67,+,0.59,0.49,,,20180102,2018
54407,58201,資訊服務類指數,88.49,+,0.61,0.69,,,20180102,2018
54408,58202,其他電子類指數,101.61, ,--,--,,,20180102,2018
54409,58203,建材營造類指數,261.65,+,3.42,1.32,,,20180102,2018
54410,58204,航運類指數,69.72,+,2.08,3.08,,,20180102,2018
54411,58205,觀光類指數,134.95,-,2.06,-1.50,,,20180102,2018
54412,58206,金融保險類指數,"1,196.45",+,4.66,0.39,,,20180102,2018
54413,58207,貿易百貨類指數,238.23,+,2.19,0.93,,,20180102,2018
54414,58208,油電燃氣類指數,145.33,-,0.62,-0.42,,,20180102,2018
54415,58209,其他類指數,253.80,+,1.28,0.51,,,20180102,2018
54416,58210,臺指日報酬兩倍指數,"16,622.67",+,209.34,1.28,,,20180102,2018
54417,58211,臺指日報酬反向一倍指數,"7,390.76",-,47.43,-0.64,,,20180102,2018
54418,58212,電子類兩倍槓桿指數,"13,421.10",+,228.87,1.73,,,20180102,2018
54419,58213,電子類反向指數,"7,926.87",-,69.36,-0.87,,,20180102,2018
54420,58214,價格指數(跨市場),,,,,,,20180102,2018
54421,58216,臺灣生技指數,"5,140.06",+,21.67,0.42,,,20180102,2018
54422,58217,價格指數(臺灣指數公司),,,,,,,20180102,2018
54423,58219,臺灣永續指數,"5,192.24",+,27.02,0.52,,,20180102,2018
54424,58220,漲升股利150指數,"6,002.34",+,27.85,0.47,,,20180102,2018
54425,58221,漲升股利100指數,"5,951.20",+,26.87,0.45,,,20180102,2018
54426,58222,藍籌30指數,"5,603.31",+,22.65,0.41,,,20180102,2018
54427,58223,工業菁英30指數,"5,890.23",+,12.64,0.22,,,20180102,2018
54428,58224,電子菁英30指數,"5,838.27",+,35.86,0.62,,,20180102,2018
54429,58225,低波動精選30指數,"5,593.95",+,34.99,0.63,,,20180102,2018
54430,58226,低貝塔100指數,"5,429.21",+,39.70,0.74,,,20180102,2018
54431,58227,中小型精選50指數,"5,601.49",+,102.27,1.86,,,20180102,2018
54432,58228,中小型A級動能50指數,"6,193.59",+,30.98,0.50,,,20180102,2018
54433,58229,特選高息低波指數,"5,074.47",+,4.29,0.08,,,20180102,2018
54434,58230,特選內需高收益指數,"5,187.48",+,52.19,1.02,,,20180102,2018
54435,58231,藍籌30反向一倍指數,"8,854.23",-,36.08,-0.41,,,20180102,2018
54436,58232,工業菁英30反向一倍指數,"9,881.34",-,21.30,-0.22,,,20180102,2018
54437,58233,金融類日報酬兩倍指數,"17,811.99",+,138.21,0.78,,,20180102,2018
54438,58234,金融類日報酬反向一倍指數,"7,176.64",-,28.17,-0.39,,,20180102,2018
54439,58237,寶島股價報酬指數,"14,271.62",+,87.86,0.62,,,20180102,2018
54440,58238,發行量加權股價報酬指數,"18,351.03",+,116.28,0.64,,,20180102,2018
54441,58239,臺灣公司治理100報酬指數,"6,803.26",+,35.40,0.52,,,20180102,2018
54442,58240,臺灣50報酬指數,"13,915.08",+,89.32,0.65,,,20180102,2018
54443,58241,臺灣中型100報酬指數,"12,547.93",+,87.63,0.70,,,20180102,2018
54444,58242,臺灣資訊科技報酬指數,"16,868.79",+,158.55,0.95,,,20180102,2018
54445,58243,臺灣發達報酬指數,"13,647.11",+,60.01,0.44,,,20180102,2018
54446,58244,臺灣高股息報酬指數,"11,625.26",+,54.62,0.47,,,20180102,2018
54447,58245,臺灣就業99報酬指數,"8,091.73",+,50.94,0.63,,,20180102,2018
54448,58246,臺灣高薪100報酬指數,"6,781.89",+,37.29,0.55,,,20180102,2018
54449,58247,臺灣低波動高股息報酬指數,"3,486.85",+,19.89,0.57,,,20180102,2018
54450,58248,未含金融電子股報酬指數,"21,477.68",+,73.49,0.34,,,20180102,2018
54451,58249,小型股300報酬指數,"7,027.91",+,50.45,0.72,,,20180102,2018
54452,58250,水泥類報酬指數,179.30,+,0.38,0.21,,,20180102,2018
54453,58251,食品類報酬指數,"2,095.81",+,23.52,1.13,,,20180102,2018
54454,58252,塑膠類報酬指數,401.70,-,1.46,-0.36,,,20180102,2018
54455,58253,紡織纖維類報酬指數,665.45,-,0.08,-0.01,,,20180102,2018
54456,58254,電機機械類報酬指數,259.72,-,0.47,-0.18,,,20180102,2018
54457,58255,電器電纜類報酬指數,64.35,+,1.10,1.74,,,20180102,2018
54458,58256,化學生技醫療類報酬指數,136.31,+,0.51,0.38,,,20180102,2018
54459,58257,化學類報酬指數,152.09,+,0.61,0.40,,,20180102,2018
54460,58258,生技醫療類報酬指數,81.54,+,0.28,0.34,,,20180102,2018
54461,58259,玻璃陶瓷類報酬指數,60.73,-,0.39,-0.64,,,20180102,2018
54462,58260,造紙類報酬指數,338.69,-,1.55,-0.46,,,20180102,2018
54463,58261,鋼鐵類報酬指數,143.71,+,1.02,0.71,,,20180102,2018
54464,58262,橡膠類報酬指數,396.03,+,0.08,0.02,,,20180102,2018
54465,58263,汽車類報酬指數,341.56,+,4.25,1.26,,,20180102,2018
54466,58264,電子類報酬指數,699.62,+,6.01,0.87,,,20180102,2018
54467,58265,半導體類報酬指數,246.93,+,2.43,0.99,,,20180102,2018
54468,58266,電腦及週邊設備類報酬指數,168.13,+,0.48,0.29,,,20180102,2018
54469,58267,光電類報酬指數,54.20,+,1.49,2.83,,,20180102,2018
54470,58268,通信網路類報酬指數,220.20,+,2.33,1.07,,,20180102,2018
54471,58269,電子零組件類報酬指數,151.03,+,0.31,0.21,,,20180102,2018
54472,58270,電子通路類報酬指數,212.29,+,1.04,0.49,,,20180102,2018
54473,58271,資訊服務類報酬指數,158.74,+,1.10,0.70,,,20180102,2018
54474,58272,其他電子類報酬指數,133.20,+,0.01,0.01,,,20180102,2018
54475,58273,建材營造類報酬指數,406.26,+,5.30,1.32,,,20180102,2018
54476,58274,航運類報酬指數,88.40,+,2.64,3.08,,,20180102,2018
54477,58275,觀光類報酬指數,161.26,-,2.47,-1.51,,,20180102,2018
54478,58276,金融保險類報酬指數,"1,684.25",+,6.56,0.39,,,20180102,2018
54479,58277,貿易百貨類報酬指數,307.64,+,2.83,0.93,,,20180102,2018
54480,58278,油電燃氣類報酬指數,192.61,-,0.82,-0.42,,,20180102,2018
54481,58279,其他類報酬指數,361.43,+,1.83,0.51,,,20180102,2018
54482,58282,臺灣生技報酬指數,"5,206.79",+,21.96,0.42,,,20180102,2018
54483,58285,臺灣永續報酬指數,"5,398.12",+,28.10,0.52,,,20180102,2018
54484,58286,漲升股利150報酬指數,"6,465.30",+,30.00,0.47,,,20180102,2018
54485,58287,漲升股利100報酬指數,"6,400.34",+,28.90,0.45,,,20180102,2018
54486,58288,藍籌 30 報酬指數,"5,835.95",+,23.58,0.41,,,20180102,2018
54487,58289,工業菁英 30 報酬指數,"6,141.67",+,13.18,0.22,,,20180102,2018
54488,58290,電子菁英 30 報酬指數,"6,066.11",+,37.25,0.62,,,20180102,2018
54489,58291,低波動精選 30 報酬指數,"5,855.96",+,36.63,0.63,,,20180102,2018
54490,58292,低貝塔 100 報酬指數,"5,675.13",+,41.50,0.74,,,20180102,2018
54491,58293,中小型精選50報酬指數,"5,877.56",+,107.32,1.86,,,20180102,2018
54492,58294,中小型A級動能50報酬指數,"6,389.05",+,31.96,0.50,,,20180102,2018
54493,58295,特選高息低波報酬指數,"5,301.24",+,4.48,0.08,,,20180102,2018
54494,58296,特選內需高收益報酬指數,"5,187.48",+,52.19,1.02,,,20180102,2018
54495,58297,特股高息20報酬指數,--,,--,--,,,20180102,2018
54496,58298,台灣500報酬指數,--,,--,--,,,20180102,2018
54497,58299,寶島股價指數,"12,453.56",+,110.37,0.89,,,20180103,2018
54498,58300,發行量加權股價指數,"10,801.57",+,90.84,0.85,,,20180103,2018
54499,58301,臺灣公司治理100指數,"6,087.76",+,60.10,1.00,,,20180103,2018
54500,58302,臺灣50指數,"8,107.28",+,74.30,0.92,,,20180103,2018
54501,58303,臺灣中型100指數,"7,893.12",+,76.63,0.98,,,20180103,2018
54502,58304,臺灣資訊科技指數,"10,443.19",+,175.53,1.71,,,20180103,2018
54503,58305,臺灣發達指數,"8,758.07",+,9.29,0.11,,,20180103,2018
