,Unnamed: 0,指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%),特殊處理註記,Unnamed: 6,日期,年
118162,125860,寶島股價指數,"13,807.73",+,119.99,0.88,,,20200102,2020
118163,125861,發行量加權股價指數,"12,100.48",+,103.34,0.86,,,20200102,2020
118164,125862,臺灣公司治理100指數,"6,915.95",+,64.84,0.95,,,20200102,2020
118165,125863,臺灣50指數,"9,450.90",+,94.86,1.01,,,20200102,2020
118166,125864,臺灣50權重上限30%指數,"9,295.18",+,69.16,0.75,,,20200102,2020
118167,125865,臺灣中型100指數,"8,740.60",+,84.29,0.97,,,20200102,2020
118168,125866,臺灣資訊科技指數,"13,659.01",+,245.86,1.83,,,20200102,2020
118169,125867,臺灣發達指數,"8,760.15",+,29.10,0.33,,,20200102,2020
118170,125868,臺灣高股息指數,"6,833.82",+,37.46,0.55,,,20200102,2020
118171,125869,臺灣就業99指數,"6,985.41",+,33.01,0.47,,,20200102,2020
118172,125870,臺灣高薪100指數,"6,556.97",+,34.76,0.53,,,20200102,2020
118173,125871,未含金融指數,"10,271.14",+,99.75,0.98,,,20200102,2020
118174,125872,未含電子指數,"15,203.12",+,25.56,0.17,,,20200102,2020
118175,125873,未含金融電子指數,"12,578.50",+,24.98,0.20,,,20200102,2020
118176,125874,小型股300指數,"6,912.02",+,53.98,0.79,,,20200102,2020
118177,125875,水泥窯製類指數,630.00,+,6.95,1.12,,,20200102,2020
118178,125876,塑膠化工類指數,847.87,+,1.17,0.14,,,20200102,2020
118179,125877,機電類指數,"2,989.72",+,39.90,1.35,,,20200102,2020
118180,125878,水泥類指數,176.01,+,2.12,1.22,,,20200102,2020
118181,125879,食品類指數,"1,796.20",-,1.83,-0.10,,,20200102,2020
118182,125880,塑膠類指數,260.83,-,0.08,-0.03,,,20200102,2020
118183,125881,紡織纖維類指數,537.27,+,1.19,0.22,,,20200102,2020
118184,125882,電機機械類指數,181.30,+,1.09,0.60,,,20200102,2020
118185,125883,電器電纜類指數,49.56,+,0.23,0.47,,,20200102,2020
118186,125884,化學生技醫療類指數,100.00,+,0.52,0.52,,,20200102,2020
118187,125885,化學類指數,104.54,+,0.42,0.40,,,20200102,2020
118188,125886,生技醫療類指數,65.80,+,0.42,0.64,,,20200102,2020
118189,125887,玻璃陶瓷類指數,31.78,+,0.02,0.06,,,20200102,2020
118190,125888,造紙類指數,200.03,+,4.60,2.35,,,20200102,2020
118191,125889,鋼鐵類指數,102.39,+,0.33,0.32,,,20200102,2020
118192,125890,橡膠類指數,263.66,+,1.24,0.47,,,20200102,2020
118193,125891,汽車類指數,351.15,-,2.83,-0.80,,,20200102,2020
118194,125892,電子工業類指數,535.08,+,7.26,1.38,,,20200102,2020
118195,125893,半導體類指數,228.87,+,4.69,2.09,,,20200102,2020
118196,125894,電腦及週邊設備類指數,103.77,+,0.09,0.09,,,20200102,2020
118197,125895,光電類指數,43.63,+,0.43,1.00,,,20200102,2020
118198,125896,通信網路類指數,127.32,+,0.28,0.22,,,20200102,2020
118199,125897,電子零組件類指數,121.32,+,1.28,1.07,,,20200102,2020
118200,125898,電子通路類指數,119.15,+,0.09,0.08,,,20200102,2020
118201,125899,資訊服務類指數,118.34,+,0.40,0.34,,,20200102,2020
118202,125900,其他電子類指數,88.03,+,0.24,0.27,,,20200102,2020
118203,125901,建材營造類指數,307.96,+,0.87,0.28,,,20200102,2020
118204,125902,航運類指數,67.21,+,0.25,0.37,,,20200102,2020
118205,125903,觀光類指數,100.62,+,0.63,0.63,,,20200102,2020
118206,125904,金融保險類指數,"1,360.12",+,1.41,0.10,,,20200102,2020
118207,125905,貿易百貨類指數,251.46,-,0.81,-0.32,,,20200102,2020
118208,125906,油電燃氣類指數,125.86,+,0.61,0.49,,,20200102,2020
118209,125907,其他類指數,284.02,+,0.39,0.14,,,20200102,2020
118210,125908,臺指日報酬兩倍指數,"20,474.75",+,346.75,1.72,,,20200102,2020
118211,125909,臺指反向一倍指數,"6,318.20",-,54.90,-0.86,,,20200102,2020
118212,125910,電子類兩倍槓桿指數,"18,272.53",+,489.21,2.75,,,20200102,2020
118213,125911,電子類反向指數,"6,228.26",-,86.86,-1.38,,,20200102,2020
118214,125912,價格指數(跨市場),,,,,,,20200102,2020
118215,125914,臺灣生技指數,"4,492.87",+,32.00,0.72,,,20200102,2020
118216,125915,臺灣中小型公司治理指數,"5,679.07",+,60.46,1.08,,,20200102,2020
118217,125916,臺灣IPO指數,"5,586.92",+,10.38,0.19,,,20200102,2020
118218,125917,智慧中立指數,"5,157.49",-,8.71,-0.17,,,20200102,2020
118219,125918,價格指數(臺灣指數公司),,,,,,,20200102,2020
118220,125920,金融類日報酬兩倍指數,"22,509.41",+,46.62,0.21,,,20200102,2020
118221,125921,金融類日報酬反向一倍指數,"6,175.75",-,6.42,-0.10,,,20200102,2020
118222,125922,漲升股利150指數,"6,736.71",+,47.77,0.71,,,20200102,2020
118223,125923,漲升股利100指數,"6,721.10",+,47.02,0.70,,,20200102,2020
118224,125924,藍籌30指數,"6,426.21",+,40.82,0.64,,,20200102,2020
118225,125925,工業菁英30指數,"6,821.27",+,63.53,0.94,,,20200102,2020
118226,125926,電子菁英30指數,"6,765.11",+,81.23,1.22,,,20200102,2020
118227,125927,低波動股利精選30指數,"6,207.54",+,4.00,0.06,,,20200102,2020
118228,125928,低貝塔100指數,"6,024.09",+,5.91,0.10,,,20200102,2020
118229,125929,藍籌30反向一倍指數,"7,396.13",-,47.59,-0.64,,,20200102,2020
118230,125930,中小型精選50指數,"5,962.35",+,30.24,0.51,,,20200102,2020
118231,125931,中小型A級動能50指數,"7,743.74",+,95.09,1.24,,,20200102,2020
118232,125932,特選高息低波指數,"5,446.00",+,7.51,0.14,,,20200102,2020
118233,125933,臺灣永續指數,"6,008.34",+,47.44,0.80,,,20200102,2020
118234,125934,工業菁英30反向一倍指數,"8,067.12",-,76.56,-0.94,,,20200102,2020
118235,125935,特選內需高收益指數,"5,773.20",+,6.65,0.12,,,20200102,2020
118236,125936,價值投資指數,"6,440.98",+,47.60,0.74,,,20200102,2020
118237,125937,中小型300指數,"6,248.37",+,48.43,0.78,,,20200102,2020
118238,125938,臺灣勞工權益指數,"5,739.35",+,49.35,0.87,,,20200102,2020
118239,125939,智慧投資多因子30指數,"5,284.62",+,26.42,0.50,,,20200102,2020
118240,125940,臺股期貨指數,"5,206.52",+,46.03,0.89,,,20200102,2020
118241,125943,寶島股價報酬指數,"17,350.12",+,150.77,0.88,,,20200102,2020
118242,125944,發行量加權股價報酬指數,"22,566.08",+,192.72,0.86,,,20200102,2020
118243,125945,臺灣公司治理100報酬指數,"8,510.09",+,79.79,0.95,,,20200102,2020
118244,125946,臺灣50報酬指數,"17,849.79",+,179.15,1.01,,,20200102,2020
118245,125947,臺灣50權重上限30%報酬指數,"17,555.49",+,130.62,0.75,,,20200102,2020
118246,125948,臺灣中型100報酬指數,"15,225.76",+,146.84,0.97,,,20200102,2020
118247,125949,臺灣資訊科技股報酬指數,"24,478.06",+,440.60,1.83,,,20200102,2020
118248,125950,臺灣發達報酬指數,"14,883.12",+,49.44,0.33,,,20200102,2020
118249,125951,臺灣高股息報酬指數,"15,352.38",+,84.15,0.55,,,20200102,2020
118250,125952,臺灣就業99報酬指數,"9,657.66",+,45.64,0.47,,,20200102,2020
118251,125953,臺灣高薪100報酬指數,"8,224.07",+,43.60,0.53,,,20200102,2020
118252,125954,未含金融電子報酬指數,"23,698.32",+,47.06,0.20,,,20200102,2020
118253,125955,小型股300報酬指數,"8,148.69",+,63.64,0.79,,,20200102,2020
118254,125956,水泥類報酬指數,294.71,+,3.55,1.22,,,20200102,2020
118255,125957,食品類報酬指數,"2,503.47",-,2.57,-0.10,,,20200102,2020
118256,125958,塑膠類報酬指數,411.10,-,0.11,-0.03,,,20200102,2020
118257,125959,紡織纖維類報酬指數,786.70,+,1.76,0.22,,,20200102,2020
118258,125960,電機機械類報酬指數,255.56,+,1.53,0.60,,,20200102,2020
118259,125961,電器電纜類報酬指數,67.23,+,0.31,0.46,,,20200102,2020
118260,125962,化學生技醫療類報酬指數,143.79,+,0.75,0.52,,,20200102,2020
118261,125963,化學類報酬指數,158.49,+,0.64,0.41,,,20200102,2020
118262,125964,生技醫療類報酬指數,86.79,+,0.56,0.65,,,20200102,2020
118263,125965,玻璃陶瓷類報酬指數,36.36,+,0.02,0.06,,,20200102,2020
118264,125966,造紙類報酬指數,278.68,+,6.41,2.35,,,20200102,2020
118265,125967,鋼鐵類報酬指數,152.49,+,0.48,0.32,,,20200102,2020
118266,125968,橡膠類報酬指數,383.62,+,1.80,0.47,,,20200102,2020
