,Unnamed: 0,證券代號,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比,Unnamed: 16,日期,年
38232,38232,2801,彰銀,"2,724,217",653,"61,913,803",22.70,22.80,22.65,22.80,+,0.1,22.75,23,22.8,250,19.49,,20200102,2020
38233,38233,2809,京城銀,"1,989,986",849,"66,484,524",33.50,33.65,33.25,33.65,+,0.15,33.55,4,33.65,61,30.59,,20200102,2020
38234,38234,2812,台中銀,"3,757,749","1,295","45,239,659",12.05,12.05,12.00,12.05,+,0.05,12.0,"6,338",12.05,"1,019",10.76,,20200102,2020
38235,38235,2816,旺旺保,"889,506",392,"20,175,082",22.65,22.90,22.50,22.55,-,0.1,22.55,7,22.6,7,6.69,,20200102,2020
38236,38236,2820,華票,"454,082",230,"6,813,317",15.00,15.05,14.95,15.00, ,0.0,15.0,38,15.05,168,16.3,,20200102,2020
38237,38237,2823,中壽,"3,394,038","1,337","86,864,181",25.65,25.65,25.55,25.60, ,0.0,25.6,108,25.65,315,9.05,,20200102,2020
38238,38238,2832,台產,"145,821",87,"3,052,023",20.90,20.95,20.90,20.90, ,0.0,20.9,17,20.95,10,12.52,,20200102,2020
38239,38239,2834,臺企銀,"8,331,979","1,867","105,199,942",12.60,12.65,12.60,12.60, ,0.0,12.6,"9,246",12.65,"3,221",12.73,,20200102,2020
38240,38240,2836,高雄銀,"445,415",196,"4,367,452",9.80,9.83,9.79,9.79,+,0.01,9.79,17,9.81,1,15.54,,20200102,2020
38241,38241,2838,聯邦銀,"1,406,960",416,"15,643,693",11.10,11.15,11.10,11.10,+,0.05,11.1,84,11.15,255,11.33,,20200102,2020
38242,38242,2838A,聯邦銀甲特,"71,000",24,"3,896,200",54.80,54.90,54.80,54.90,+,0.1,54.8,89,54.9,2,,,20200102,2020
38243,38243,2845,遠東銀,"3,293,163",504,"39,514,456",11.95,12.05,11.95,12.00,+,0.05,12.0,678,12.05,"1,801",10.53,,20200102,2020
38244,38244,2849,安泰銀,"118,368",69,"1,890,264",16.00,16.00,15.85,15.95,+,0.05,15.9,4,16.0,40,12.18,,20200102,2020
38245,38245,2850,新產,"93,502",86,"3,620,751",38.70,38.90,38.60,38.90,+,0.3,38.85,2,38.95,2,8.37,,20200102,2020
38246,38246,2851,中再保,"580,984",190,"11,602,977",19.85,20.05,19.75,20.05,+,0.2,20.0,11,20.05,44,9.69,,20200102,2020
38247,38247,2852,第一保,"210,578",114,"3,073,308",14.50,14.65,14.50,14.65,+,0.1,14.55,19,14.65,73,11.91,,20200102,2020
38248,38248,2855,統一證,"3,242,261",891,"47,700,571",14.55,14.80,14.55,14.75,+,0.3,14.75,115,14.8,225,12.19,,20200102,2020
38249,38249,2867,三商壽,"2,282,220",623,"26,456,227",11.65,11.65,11.55,11.55,-,0.05,11.5,592,11.55,90,9.79,,20200102,2020
